_id,供暖,均价(元/平方米),小区名称,年份,户型(/室),朝向,楼层,用途,面积(/平方米)
632858a8b825978768d61d0c,集体供暖,10770,绿地乐和城,2014,1,西,低,普通住宅,57.57
632858a8b825978768d61d0d,集体供暖,21370,华豪丽晶,2010,3,东南,高,普通住宅,121.67
632858a8b825978768d61d0e,集体供暖,15201,兰蒂斯城2期,2013,2,东南,高,普通住宅,88.81
632858a8b825978768d61d0f,集体供暖,17047,高山流水星币传说,2014,2,东,中,普通住宅,78.02
632858a8b825978768d61d10,集体供暖,11226,世贸大厦,2006,2,南北,中,普通住宅,99.77
632858a8b825978768d61d11,集体供暖,18318,阳光里,2009,3,南北,中,普通住宅,74.79
632858a8b825978768d61d12,集体供暖,13889,长安壹栋,2015,1,西,中,普通住宅,54
632858a8b825978768d61d13,集体供暖,15208,李家村万达广场,2008,2,南,中,普通住宅,84.17
632858a8b825978768d61d14,集体供暖,10470,海星未来城,2009,1,南,中,普通住宅,42.98
632858a9b825978768d61d16,集体供暖,15081,中贸广场,2013,2,东,中,普通住宅,70.29
632858a9b825978768d61d17,集体供暖,13426,省人民医院家属院,1998,2,北,中,普通住宅,73.74
632858a9b825978768d61d18,集体供暖,15762,白庙公寓,2011,2,南,中,普通住宅,74.55
632858a9b825978768d61d19,集体供暖,11725,西安电力高等专科学校住宅区,2004,2,南北,中,普通住宅,79.32
632858a9b825978768d61d1a,集体供暖,16064,海星未来城,2011,2,西北,低,普通住宅,83.73
632858a9b825978768d61d1b,集体供暖,17762,兴庆宫,2016,3,东南,高,普通住宅,140.19
632858a9b825978768d61d1c,集体供暖,19482,黄金屋,2008,3,东南,低,普通住宅,134.49
632858a9b825978768d61d1d,集体供暖,15457,兰蒂斯城2期,2015,2,西北,高,普通住宅,93.81
632858a9b825978768d61d1e,集体供暖,14114,景致雅居,2006,3,南北,低,普通住宅,152.34
632858a9b825978768d61d1f,集体供暖,16058,紫玉兰庭,2009,2,东,高,普通住宅,74.73
632858a9b825978768d61d20,集体供暖,19907,曼城国际,2011,2,南,低,普通住宅,98.46
632858a9b825978768d61d21,集体供暖,20000,阳光里,2009,1,西,低,普通住宅,50
632858a9b825978768d61d22,集体供暖,15868,中贸广场,2010,1,西,高,普通住宅,53.57
